IDs,canonical_smiles,pIC50,charge
CHEMBL3103378,CN1CCC(NC(=O)N2c3ccccc3C=Cc3ccccc32)CC1,4.0,0
CHEMBL3103377,CC(C)(C)NC(=O)N1c2ccccc2C=Cc2ccccc21,4.860120913598763,0
CHEMBL3103376,CN(C)CCN(C)C(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103375,CCCN(CCC)C(=O)N1c2ccccc2C=Cc2ccccc21,5.1090204030103115,0
CHEMBL3103374,CCCCNC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103373,CN(C)C(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103372,O=C(N1CCCC1)N1c2ccccc2C=Cc2ccccc21,4.467245621007502,0
CHEMBL3103371,O=C(N1CCCCC1)N1c2ccccc2C=Cc2ccccc21,4.863279432843593,0
CHEMBL3103370,O=C(NCCc1ccccc1)N1c2ccccc2C=Cc2ccccc21,4.441291429466834,0
CHEMBL3103369,O=C(NC1CCCCC1)N1c2ccccc2C=Cc2ccccc21,4.471083299722345,0
CHEMBL3103405,COc1ccc(CCNC(=O)N2c3ccccc3C=Cc3ccccc32)cc1,4.562249437179612,0
CHEMBL3103404,CC(C)NC(=O)N1c2ccccc2C=Cc2ccccc21,4.716698771296451,0
CHEMBL1739848,CN(C)CCCNC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103403,O=C(N1CCOCC1)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL1594958,CNC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103402,O=C(NCc1ccccc1)N1c2ccccc2C=Cc2ccccc21,4.102922996790579,0
CHEMBL1483754,CCN(CC)C(=O)N1c2ccccc2C=Cc2ccccc21,4.943095148663527,0
CHEMBL3103401,O=C(OCc1ccccc1)N1c2ccccc2C=Cc2ccccc21,5.220403508742176,0
CHEMBL3103400,CC(C)COC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL1716713,COC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103399,C1=Cc2ccccc2N(Cc2ccccc2)c2ccccc21,4.0,0
CHEMBL3103398,O=C(c1ccccc1)N1c2ccccc2C=Cc2ccccc21,4.632644078973981,0
CHEMBL3103397,CC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3741992,Cc1cc(Cl)c(OCCO)cc1NC(=O)C1=CNC(=O)C[C@H]1c1ccc(F)cc1,5.0,0
CHEMBL4127637,COc1ccc(C(=O)C2=C(O)C(=O)N(c3ccc(-c4ccon4)cc3)C2C2CCCCC2)cc1,4.522878745280337,0
CHEMBL4463320,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccc(-c2nccs2)cc1,7.522878745280337,0
CHEMBL4561582,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccc(C2CCOC2)cc1,7.1249387366083,0
CHEMBL4438981,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(-n2cnnc2)c1,7.173925197299174,0
CHEMBL4579675,CC(=O)Nc1cccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)c1,7.031517051446065,0
CHEMBL4569107,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccc(N2CCOCC2=O)cc1,5.774432286560529,0
CHEMBL4474747,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(C(=O)N2CCOCC2)c1,7.346787486224656,0
CHEMBL4451946,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(N2CCOCC2=O)c1,6.787812395596042,0
CHEMBL4577125,CC(C)(O)c1ccccc1Oc1ccc(NC(=O)Cc2ccccc2Cl)cc1S(N)(=O)=O,6.616184634019569,0
CHEMBL4455317,CC(C)(O)c1cccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)c1,6.324221658325915,0
CHEMBL4539332,CC(C)(O)c1ccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)cc1,6.424812155072339,0
CHEMBL4533763,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccccn1,6.355561410532162,0
CHEMBL4541425,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccnc1,6.714442690992226,0
CHEMBL4535761,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cncc(Cl)c1,7.568636235841013,0
CHEMBL4455389,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cnc(Cl)nc1,5.597222930389653,0
CHEMBL4462109,Cn1cc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)cn1,6.732828271596986,0
CHEMBL4539658,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OC1CCCCC1,7.4089353929735005,0
CHEMBL4471140,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCc1ccccc1,8.698970004336019,0
CHEMBL4439570,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCc1ccccn1,7.585026652029182,0
CHEMBL4563994,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCCc1ccccc1,7.721246399047171,0
CHEMBL4589444,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1CCC1,8.301029995663981,0
CHEMBL4456686,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1CCO1,6.105683937315562,0
CHEMBL4450002,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1COCCO1,6.58838029403677,0
CHEMBL4442297,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1CCOCC1,6.856985199745905,0
CHEMBL4519162,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2C(F)(F)F)ccc1OCC1CCOCC1,7.055517327849832,0
CHEMBL4469574,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2C(F)F)ccc1OCC1CCOCC1,6.954677021213342,0
CHEMBL4458990,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2F)ccc1OCC1CCOCC1,6.224025668870631,0
CHEMBL4517831,NS(=O)(=O)c1cc(NC(=O)Cc2cccc(F)c2Cl)ccc1OCC1CCOCC1,7.431798275933005,0
CHEMBL4443857,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(F)cc2Cl)ccc1OCC1CCOCC1,6.761953896871205,0
CHEMBL4452251,NS(=O)(=O)c1cc(NC(=O)Cc2cc(F)ccc2Cl)ccc1OCC1CCOCC1,7.075720713938118,0
CHEMBL4555657,NS(=O)(=O)c1cc(NC(=O)Cc2c(F)cccc2Cl)ccc1OCC1CCOCC1,7.886056647693163,0
CHEMBL4521594,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1cccc(Cl)c1,6.675717544702307,0
CHEMBL4579583,COc1cccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)c1,8.096910013008056,0
CHEMBL4470126,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1ccccc1Cl,5.903089986991944,0
CHEMBL4516176,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccccc1Cl,7.886056647693163,0
CHEMBL4556573,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccccc1,8.0,0
CHEMBL4570116,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(C(F)(F)F)cc2)ccc1Oc1cccc(Cl)c1,5.764976840504777,0
CHEMBL4444721,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(Cl)cc2)ccc1Oc1cccc(Cl)c1,6.462180904926726,0
CHEMBL4450779,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(F)cc2)ccc1Oc1cccc(Cl)c1,6.570247719997592,0
CHEMBL4516843,NS(=O)(=O)c1cc(NC(=O)C2(c3ccccc3Cl)CC2)ccc1Oc1cccc(Cl)c1,4.6020599913279625,0
CHEMBL4593104,CC(C(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1)c1ccccc1Cl,6.872895201635193,0
CHEMBL4470995,CC(C(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1)c1ccccc1,5.905878404159439,0
CHEMBL4521017,NS(=O)(=O)c1cc(NC(=O)Cc2c(Cl)cccc2Cl)ccc1Oc1cccc(Cl)c1,7.823908740944319,0
CHEMBL4447043,NS(=O)(=O)c1cc(NC(=O)Cc2c(F)cccc2Cl)ccc1Oc1cccc(Cl)c1,8.045757490560675,0
CHEMBL4452312,COc1ccccc1CC(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1,8.698970004336019,0
CHEMBL4438327,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2C(F)(F)F)ccc1Oc1cccc(Cl)c1,7.619788758288394,0
CHEMBL4449416,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(Cl)c1,7.036212172654444,0
CHEMBL4516450,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2F)ccc1Oc1cccc(Cl)c1,7.119186407719209,0
CHEMBL4451276,Cc1ccc(CC(=O)Nc2ccc(Oc3cccc(Cl)c3)c(S(N)(=O)=O)c2)cc1,6.498940737782249,0
