IDs,canonical_smiles,IC50
CHEMBL3103390,NC(=O)N1c2ccccc2C=Cc2ccc(C(F)(F)F)cc21,54600.0
CHEMBL3103389,NC(=O)N1c2ccccc2C=Cc2ccc(F)cc21,100000.0
CHEMBL3103388,Cc1ccc2c(c1)N(C(N)=O)c1ccccc1C=C2,100000.0
CHEMBL3103387,CCN(CC)C(=O)N1c2ccccc2C=Cc2cccc(C(=O)N(C(C)C)C(C)C)c21,52500.0
CHEMBL3103386,CC(C)N(C(=O)c1cccc2c1Nc1ccccc1C=C2)C(C)C,30600.0
CHEMBL3103385,CC(C)N(C(=O)N1c2ccccc2C=Cc2ccccc21)C(C)C,3440.0
CHEMBL3103384,O=C(Nc1ccncc1)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103383,O=C(Nc1ccccc1)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103382,NC1CCC(NC(=O)N2c3ccccc3C=Cc3ccccc32)CC1,10000.0
CHEMBL3103381,O=C(NC1CCC(O)CC1)N1c2ccccc2C=Cc2ccccc21,20000.0
CHEMBL3103380,O=C(N1CCC(O)CC1)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103379,O=C(N(CCO)CCO)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103378,CN1CCC(NC(=O)N2c3ccccc3C=Cc3ccccc32)CC1,100000.0
CHEMBL3103377,CC(C)(C)NC(=O)N1c2ccccc2C=Cc2ccccc21,13800.0
CHEMBL3103376,CN(C)CCN(C)C(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103375,CCCN(CCC)C(=O)N1c2ccccc2C=Cc2ccccc21,7780.0
CHEMBL3103374,CCCCNC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103373,CN(C)C(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103372,O=C(N1CCCC1)N1c2ccccc2C=Cc2ccccc21,34100.0
CHEMBL3103371,O=C(N1CCCCC1)N1c2ccccc2C=Cc2ccccc21,13700.0
CHEMBL3103370,O=C(NCCc1ccccc1)N1c2ccccc2C=Cc2ccccc21,36200.0
CHEMBL3103369,O=C(NC1CCCCC1)N1c2ccccc2C=Cc2ccccc21,33800.0
CHEMBL3103405,COc1ccc(CCNC(=O)N2c3ccccc3C=Cc3ccccc32)cc1,27400.0
CHEMBL3103404,CC(C)NC(=O)N1c2ccccc2C=Cc2ccccc21,19200.0
CHEMBL1739848,CN(C)CCCNC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103403,O=C(N1CCOCC1)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL1594958,CNC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103402,O=C(NCc1ccccc1)N1c2ccccc2C=Cc2ccccc21,78900.0
CHEMBL1483754,CCN(CC)C(=O)N1c2ccccc2C=Cc2ccccc21,11400.0
CHEMBL3103401,O=C(OCc1ccccc1)N1c2ccccc2C=Cc2ccccc21,6020.0
CHEMBL3103400,CC(C)COC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL1716713,COC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3103399,C1=Cc2ccccc2N(Cc2ccccc2)c2ccccc21,100000.0
CHEMBL3103398,O=C(c1ccccc1)N1c2ccccc2C=Cc2ccccc21,23300.0
CHEMBL3103397,CC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,100000.0
CHEMBL3741992,Cc1cc(Cl)c(OCCO)cc1NC(=O)C1=CNC(=O)C[C@H]1c1ccc(F)cc1,10000.0
CHEMBL4127637,COc1ccc(C(=O)C2=C(O)C(=O)N(c3ccc(-c4ccon4)cc3)C2C2CCCCC2)cc1,30000.0
CHEMBL4463320,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccc(-c2nccs2)cc1,30.0
CHEMBL4561582,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccc(C2CCOC2)cc1,75.0
CHEMBL4438981,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(-n2cnnc2)c1,67.0
CHEMBL4579675,CC(=O)Nc1cccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)c1,93.0
CHEMBL4569107,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccc(N2CCOCC2=O)cc1,1681.0
CHEMBL4474747,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(C(=O)N2CCOCC2)c1,45.0
CHEMBL4451946,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(N2CCOCC2=O)c1,163.0
CHEMBL4577125,CC(C)(O)c1ccccc1Oc1ccc(NC(=O)Cc2ccccc2Cl)cc1S(N)(=O)=O,242.0
CHEMBL4455317,CC(C)(O)c1cccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)c1,474.0
CHEMBL4539332,CC(C)(O)c1ccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)cc1,376.0
CHEMBL4533763,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccccn1,441.0
CHEMBL4541425,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccnc1,193.0
CHEMBL4535761,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cncc(Cl)c1,27.0
CHEMBL4455389,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cnc(Cl)nc1,2528.0
CHEMBL4462109,Cn1cc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)cn1,185.0
CHEMBL4539658,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OC1CCCCC1,39.0
CHEMBL4471140,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCc1ccccc1,2.0
CHEMBL4439570,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCc1ccccn1,26.0
CHEMBL4563994,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCCc1ccccc1,19.0
CHEMBL4589444,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1CCC1,5.0
CHEMBL4456686,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1CCO1,784.0
CHEMBL4450002,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1COCCO1,258.0
CHEMBL4442297,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1OCC1CCOCC1,139.0
CHEMBL4519162,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2C(F)(F)F)ccc1OCC1CCOCC1,88.0
CHEMBL4469574,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2C(F)F)ccc1OCC1CCOCC1,111.0
CHEMBL4458990,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2F)ccc1OCC1CCOCC1,597.0
CHEMBL4517831,NS(=O)(=O)c1cc(NC(=O)Cc2cccc(F)c2Cl)ccc1OCC1CCOCC1,37.0
CHEMBL4443857,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(F)cc2Cl)ccc1OCC1CCOCC1,173.0
CHEMBL4452251,NS(=O)(=O)c1cc(NC(=O)Cc2cc(F)ccc2Cl)ccc1OCC1CCOCC1,84.0
CHEMBL4555657,NS(=O)(=O)c1cc(NC(=O)Cc2c(F)cccc2Cl)ccc1OCC1CCOCC1,13.0
CHEMBL4521594,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1cccc(Cl)c1,211.0
CHEMBL4579583,COc1cccc(Oc2ccc(NC(=O)Cc3ccccc3Cl)cc2S(N)(=O)=O)c1,8.0
CHEMBL4470126,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1ccccc1Cl,1250.0
CHEMBL4516176,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccccc1Cl,13.0
CHEMBL4556573,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1ccccc1,10.0
CHEMBL4570116,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(C(F)(F)F)cc2)ccc1Oc1cccc(Cl)c1,1718.0
CHEMBL4444721,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(Cl)cc2)ccc1Oc1cccc(Cl)c1,345.0
CHEMBL4450779,NS(=O)(=O)c1cc(NC(=O)Cc2ccc(F)cc2)ccc1Oc1cccc(Cl)c1,269.0
CHEMBL4516843,NS(=O)(=O)c1cc(NC(=O)C2(c3ccccc3Cl)CC2)ccc1Oc1cccc(Cl)c1,25000.0
CHEMBL4593104,CC(C(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1)c1ccccc1Cl,134.0
CHEMBL4470995,CC(C(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1)c1ccccc1,1242.0
CHEMBL4521017,NS(=O)(=O)c1cc(NC(=O)Cc2c(Cl)cccc2Cl)ccc1Oc1cccc(Cl)c1,15.0
CHEMBL4447043,NS(=O)(=O)c1cc(NC(=O)Cc2c(F)cccc2Cl)ccc1Oc1cccc(Cl)c1,9.0
CHEMBL4452312,COc1ccccc1CC(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1,2.0
CHEMBL4438327,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2C(F)(F)F)ccc1Oc1cccc(Cl)c1,24.0
CHEMBL4449416,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cccc(Cl)c1,92.0
CHEMBL4516450,NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2F)ccc1Oc1cccc(Cl)c1,76.0
CHEMBL4451276,Cc1ccc(CC(=O)Nc2ccc(Oc3cccc(Cl)c3)c(S(N)(=O)=O)c2)cc1,317.0
CHEMBL4443234,Cc1cccc(CC(=O)Nc2ccc(Oc3cccc(Cl)c3)c(S(N)(=O)=O)c2)c1,52.0
CHEMBL4522504,Cc1ccccc1CC(=O)Nc1ccc(Oc2cccc(Cl)c2)c(S(N)(=O)=O)c1,10.0
CHEMBL4557633,O=C1CC(=O)N(c2ccc(NS(=O)(=O)Cc3ccccc3Cl)cc2)c2ccc3ccccc3c2N1,54.0
CHEMBL4513970,Cc1c(-c2cccc(-c3nnn[nH]3)c2)c2[nH]c3ccccc3c2[nH]c1=O,100.0
CHEMBL1532400,CC(C)c1cc(Br)c(NC(=O)Nc2cccnc2)c(Br)c1,780.0
CHEMBL4464823,O=C(Cc1ccccc1I)Nc1ccc(N2C(=O)CC(=O)Nc3c2ccc2ccccc32)cc1,430.0
CHEMBL4462656,O=C1CC(=O)N(c2cccc(-c3noc(=S)[n-]3)c2)c2ccc3ccccc3c2N1.[Na+],260.0
CHEMBL4525343,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OC3(CCCCC3)O[C@H]21,29600.0
CHEMBL4463334,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2O[C@@H](c3ccccc3)O[C@H]21,11000.0
CHEMBL4456926,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2O[C@H](c3ccccc3)O[C@H]21,12400.0
CHEMBL4561510,N.N.N.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OCO[C@H]21,100000.0
